year,date_conducted,date_published,pollster,geography,mode,sample_size,population_surveyed,sponsor,cc_poll_share,dgm_poll_share,pdal_poll_share,ssp_poll_share,undecided_poll_share
1984,1984-04-17,1984-04-18,Cobolite Coalition Calling,Infoglen,IVR,2000,RV,CC,0.394,0.198,0.25,0,0.158
1984,1984-04-16,1984-04-18,Dataland Daily,National,Online,200,Adults,None,0.19,0.17,0.37,0.05,0.22
1984,1984-04-17,1984-04-19,Dataland Daily,National,Online,200,Adults,None,0.185,0.21,0.33,0.04,0.235
1984,1984-04-18,1984-04-20,Cobolite Coalition Calling,Circuiton,IVR,2000,RV,CC,0.096,0.432,0.361,0,0.111
1984,1984-04-18,1984-04-20,Dataland Daily,National,Online,200,Adults,None,0.16,0.28,0.295,0.05,0.215
1984,1984-04-19,1984-04-20,Dataland Daily,National,Online,200,Adults,None,0.17,0.195,0.35,0.06,0.225
1984,1984-04-20,1984-04-21,Dataland Daily,National,Online,200,Adults,None,0.14,0.21,0.36,0.065,0.225
1984,1984-04-21,1984-04-23,No Province Left Behind,Binaryshire,IVR,500,RV,None,0.682,0.022,0.152,0,0.144
1984,1984-04-21,1984-04-23,Metaflux University,Binaryshire,IVR,1500,Adults,None,0.758,0.014,0.086,0,0.142
1984,1984-04-22,1984-04-23,Metaflux University,Byteforge Domain,IVR,1500,Adults,None,0.325,0.042,0.473,0,0.16
1984,1984-04-21,1984-04-23,Synapse Strategies,Cerebrica,Online,1000,RV,None,0.284,0.252,0.278,0.078,0.108
1984,1984-04-21,1984-04-23,Dataland Daily,National,Online,200,Adults,None,0.255,0.215,0.265,0.05,0.215
1984,1984-04-22,1984-04-23,Big Dataland Surveys,Synapse Territories,Online,10000,RV,None,0.182,0.197,0.192,0.292,0.137
1984,1984-04-22,1984-04-24,No Province Left Behind,Infinitron Peninsula,IVR,500,RV,None,0.394,0.308,0.196,0,0.102
1984,1984-04-23,1984-04-24,Metaflux University,Infinitron Peninsula,IVR,1500,Adults,None,0.377,0.274,0.197,0,0.152
1984,1984-04-22,1984-04-24,Dataland Daily,National,Online,200,Adults,None,0.19,0.18,0.255,0.125,0.25
1984,1984-04-24,1984-04-25,No Province Left Behind,Amperville,IVR,500,RV,None,0.054,0.136,0.69,0,0.12
1984,1984-04-24,1984-04-25,Progressive Polling,Cortexia,Live caller,1000,Adults,None,0.124,0.139,0.229,0.412,0.096
1984,1984-04-24,1984-04-25,Progressive Polling,Infoglen,Live caller,1000,Adults,PDAL,0.264,0.216,0.419,0,0.101
1984,1984-04-23,1984-04-25,Dataland Daily,National,Online,200,Adults,None,0.13,0.31,0.305,0.075,0.18
1984,1984-04-24,1984-04-25,Dataland Daily,National,Online,200,Adults,None,0.225,0.235,0.26,0.11,0.17
1984,1984-04-24,1984-04-26,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.164,0.165,0.236,0.346,0.089
1984,1984-04-25,1984-04-26,Big Dataland Surveys,Synapse Territories,Online,10000,RV,None,0.144,0.181,0.191,0.344,0.14
1984,1984-04-25,1984-04-27,Dataland Daily,National,Online,200,Adults,None,0.135,0.27,0.35,0.065,0.18
1984,1984-04-26,1984-04-27,Dataland Daily,National,Online,200,Adults,None,0.2,0.205,0.33,0.08,0.185
1984,1984-04-26,1984-04-28,Progressive Polling,Electropolis,Live caller,1000,Adults,None,0.188,0.349,0.351,0,0.112
1984,1984-04-26,1984-04-28,Metaflux University,Infinitron Peninsula,IVR,1500,Adults,None,0.361,0.299,0.182,0,0.158
1984,1984-04-28,1984-04-29,Dataland Register-Gazette,Byteforge Domain,Live caller,1500,RV,None,0.367,0.085,0.413,0,0.135
1984,1984-04-28,1984-04-29,Dataland Register-Gazette,Electropolis,Live caller,1500,RV,None,0.188,0.311,0.353,0,0.147
1984,1984-04-27,1984-04-29,Dataland Daily,National,Online,200,Adults,None,0.195,0.265,0.295,0.085,0.16
1984,1984-04-28,1984-04-30,Proudly Paid For Polling,Circuit Confederation,Online,1000,RV,PDAL,0.105,0.252,0.52,0,0.123
1984,1984-04-28,1984-04-30,Progressive Polling,Cortexia,Live caller,1000,Adults,None,0.098,0.091,0.317,0.373,0.121
1984,1984-04-28,1984-04-30,Metaflux University,Metaflux Realm,IVR,1500,RV,None,0.321,0.224,0.324,0,0.131
1984,1984-04-28,1984-04-30,Dataland Daily,National,Online,200,Adults,None,0.195,0.15,0.38,0.07,0.205
1984,1984-04-29,1984-05-01,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,RV,None,0.141,0.28,0.471,0,0.108
1984,1984-04-30,1984-05-01,Cobolite Coalition Calling,Circuiton,IVR,2000,RV,None,0.083,0.327,0.452,0,0.138
1984,1984-04-29,1984-05-01,Synapse Strategies,Cortexia,Online,1000,RV,None,0.122,0.135,0.231,0.362,0.15
1984,1984-04-29,1984-05-01,Dataland Daily,National,Online,200,Adults,None,0.16,0.29,0.27,0.08,0.2
1984,1984-04-29,1984-05-01,Cobolite Coalition Calling,Synapse Territories,IVR,2000,RV,CC,0.199,0.198,0.213,0.271,0.12
1984,1984-05-01,1984-05-02,Cobolite Coalition Calling,Byteforge Domain,IVR,2000,RV,CC,0.517,0.078,0.268,0,0.137
1984,1984-05-01,1984-05-02,Conference Board of Dataland,Metaflux Realm,Live caller,3000,LV,None,0.38,0.205,0.313,0,0.102
1984,1984-04-30,1984-05-02,Dataland Daily,National,Online,200,Adults,None,0.125,0.21,0.395,0.065,0.205
1984,1984-05-01,1984-05-02,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.199,0.171,0.229,0.307,0.094
1984,1984-05-02,1984-05-03,Cobolite Coalition Calling,Amperville,IVR,2000,RV,CC,0.074,0.136,0.645,0,0.144
1984,1984-05-01,1984-05-03,Conference Board of Dataland,Circuit Confederation,Live caller,3000,LV,None,0.16,0.26,0.469,0,0.111
1984,1984-05-01,1984-05-03,Dataland Daily,National,Online,200,Adults,None,0.17,0.265,0.34,0.09,0.135
1984,1984-05-01,1984-05-03,Cobolite Coalition Calling,Voltagea,IVR,2000,RV,CC,0.132,0.228,0.498,0,0.142
1984,1984-05-02,1984-05-04,Dataland Daily,National,Online,200,Adults,None,0.165,0.26,0.31,0.085,0.18
1984,1984-05-03,1984-05-05,Synapse Strategies,Cerebrica,Online,1000,RV,SSP,0.257,0.251,0.272,0.122,0.098
1984,1984-05-04,1984-05-05,Progressive Polling,Electropolis,Live caller,1000,Adults,None,0.209,0.343,0.331,0,0.117
1984,1984-05-03,1984-05-05,Dataland Daily,National,Online,200,Adults,None,0.165,0.215,0.375,0.075,0.17
1984,1984-05-04,1984-05-05,Dataland Daily,National,Online,200,Adults,None,0.165,0.235,0.38,0.06,0.16
1984,1984-05-03,1984-05-05,Proudly Paid For Polling,Neuronia,Online,1000,RV,PDAL,0.034,0.072,0.054,0.758,0.082
1984,1984-05-04,1984-05-05,Dataland Register-Gazette,Synapse Territories,Live caller,1500,RV,None,0.175,0.177,0.25,0.307,0.092
1984,1984-05-04,1984-05-06,Metaflux University,Byteforge Domain,IVR,1500,RV,None,0.411,0.07,0.383,0,0.136
1984,1984-05-05,1984-05-06,Dataland Register-Gazette,Electropolis,Live caller,1500,RV,None,0.194,0.325,0.379,0,0.102
1984,1984-05-05,1984-05-06,Dataland Daily,National,Online,200,Adults,None,0.19,0.285,0.33,0.055,0.14
1984,1984-05-05,1984-05-07,Progressive Polling,Byteforge Domain,Live caller,1000,Adults,None,0.397,0.103,0.41,0,0.09
1984,1984-05-05,1984-05-07,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,RV,None,0.14,0.307,0.471,0,0.083
1984,1984-05-05,1984-05-07,Proudly Paid For Polling,Circuiton,Online,1000,RV,CC,0.071,0.445,0.381,0,0.103
1984,1984-05-06,1984-05-07,Proudly Paid For Polling,Synapse Territories,Online,1000,RV,PDAL,0.15,0.146,0.266,0.326,0.112
1984,1984-05-07,1984-05-08,Proudly Paid For Polling,Cerebrica,Online,1000,RV,PDAL,0.247,0.23,0.343,0.092,0.088
1984,1984-05-06,1984-05-08,Dataland Daily,National,Online,200,Adults,None,0.135,0.26,0.34,0.1,0.165
1984,1984-05-07,1984-05-08,Dataland Daily,National,Online,200,Adults,None,0.14,0.205,0.415,0.095,0.145
1984,1984-05-06,1984-05-08,Proudly Paid For Polling,Neuronia,Online,1000,RV,PDAL,0.03,0.089,0.08,0.699,0.102
1984,1984-05-08,1984-05-09,Conference Board of Dataland,Metaflux Realm,Live caller,3000,LV,None,0.332,0.191,0.362,0,0.114
1984,1984-05-08,1984-05-09,Dataland Daily,National,Online,200,Adults,None,0.2,0.235,0.38,0.03,0.155
1984,1984-05-08,1984-05-09,Metaflux University,Quantumridge,IVR,1500,RV,None,0.181,0.227,0.478,0,0.114
1984,1984-05-08,1984-05-09,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.19,0.168,0.266,0.308,0.068
1984,1984-05-07,1984-05-09,Dataland Register-Gazette,Voltagea,Live caller,1500,RV,None,0.11,0.289,0.497,0,0.103
1984,1984-05-08,1984-05-10,Conference Board of Dataland,Circuit Confederation,Live caller,3000,LV,None,0.143,0.262,0.499,0,0.097
1984,1984-05-08,1984-05-10,Proudly Paid For Polling,Infinitron Peninsula,Online,1000,LV,CC,0.469,0.258,0.215,0,0.058
1984,1984-05-09,1984-05-10,Dataland Daily,National,Online,200,Adults,None,0.17,0.215,0.385,0.075,0.155
1984,1984-05-09,1984-05-10,Proudly Paid For Polling,National,Online,1000,LV,DGM,0.183,0.285,0.387,0.071,0.074
1984,1984-05-10,1984-05-11,Proudly Paid For Polling,Binaryshire,Online,1000,LV,CC,0.779,0.017,0.113,0,0.091
1984,1984-05-09,1984-05-11,Cobolite Coalition Calling,Circuit Confederation,IVR,2000,RV,CC,0.162,0.18,0.536,0,0.122
1984,1984-05-09,1984-05-11,Proudly Paid For Polling,Circuit Confederation,Online,1000,LV,DGM,0.127,0.329,0.437,0,0.107
1984,1984-05-10,1984-05-11,Dataland Daily,National,Online,200,Adults,None,0.15,0.29,0.29,0.08,0.19
1984,1984-05-09,1984-05-11,Proudly Paid For Polling,Neuronia,Online,1000,LV,DGM,0.019,0.107,0.066,0.719,0.089
1984,1984-05-11,1984-05-12,Dataland Register-Gazette,Cerebrica,Live caller,1500,RV,None,0.252,0.235,0.345,0.075,0.093
1984,1984-05-11,1984-05-12,Proudly Paid For Polling,Cerebrica,Online,1000,LV,DGM,0.243,0.303,0.278,0.089,0.087
1984,1984-05-11,1984-05-12,Dataland Daily,National,Online,200,Adults,None,0.195,0.19,0.385,0.075,0.155
1984,1984-05-10,1984-05-12,No Province Left Behind,Quantumridge,IVR,500,LV,None,0.156,0.244,0.474,0,0.126
1984,1984-05-11,1984-05-12,Dataland Register-Gazette,Synapse Territories,Live caller,1500,RV,None,0.159,0.169,0.274,0.301,0.096
1984,1984-05-11,1984-05-13,Proudly Paid For Polling,Amperville,Online,1000,LV,DGM,0.033,0.17,0.722,0,0.075
1984,1984-05-11,1984-05-13,Metaflux University,Byteforge Domain,IVR,1500,RV,None,0.369,0.078,0.45,0,0.103
1984,1984-05-12,1984-05-13,Dataland Register-Gazette,Electropolis,Live caller,1500,RV,None,0.193,0.317,0.39,0,0.099
1984,1984-05-12,1984-05-13,Dataland Daily,National,Online,200,Adults,None,0.2,0.205,0.32,0.095,0.18
1984,1984-05-13,1984-05-14,Dataland Register-Gazette,Electropolis,Live caller,1500,RV,None,0.208,0.331,0.379,0,0.083
1984,1984-05-12,1984-05-14,Proudly Paid For Polling,National,Online,1000,LV,DGM,0.195,0.284,0.342,0.085,0.094
1984,1984-05-13,1984-05-14,Dataland Daily,National,Online,200,Adults,None,0.19,0.21,0.34,0.07,0.19
1984,1984-05-13,1984-05-14,No Province Left Behind,Neuronia,IVR,500,LV,None,0.034,0.092,0.046,0.724,0.104
1984,1984-05-12,1984-05-14,Big Dataland Surveys,Synapse Territories,Online,10000,RV,None,0.158,0.201,0.245,0.292,0.104
1984,1984-05-13,1984-05-15,Dataland Register-Gazette,Cortexia,Live caller,1500,RV,None,0.122,0.164,0.266,0.365,0.083
1984,1984-05-14,1984-05-15,Dataland Daily,National,Online,200,Adults,None,0.155,0.25,0.38,0.105,0.11
1984,1984-05-14,1984-05-16,Metaflux University,Byteforge Domain,IVR,1500,RV,None,0.402,0.083,0.441,0,0.074
1984,1984-05-15,1984-05-16,Progressive Polling,Byteforge Domain,Live caller,1000,Adults,None,0.336,0.093,0.487,0,0.084
1984,1984-05-15,1984-05-16,Dataland Register-Gazette,Cortexia,Live caller,1500,RV,None,0.133,0.152,0.297,0.359,0.06
1984,1984-05-15,1984-05-16,Dataland Register-Gazette,Infoglen,Live caller,1500,RV,None,0.261,0.301,0.362,0,0.075
1984,1984-05-15,1984-05-16,Dataland Daily,National,Online,200,Adults,None,0.17,0.25,0.36,0.055,0.165
1984,1984-05-15,1984-05-16,Proudly Paid For Polling,National,Online,1000,LV,CC,0.24,0.234,0.363,0.074,0.089
1984,1984-05-15,1984-05-17,Metaflux University,Binaryshire,IVR,1500,RV,None,0.763,0.02,0.119,0,0.098
1984,1984-05-15,1984-05-17,Conference Board of Dataland,Circuit Confederation,Live caller,3000,LV,None,0.124,0.307,0.484,0,0.085
1984,1984-05-15,1984-05-17,Proudly Paid For Polling,Cortexia,Online,1000,LV,CC,0.152,0.164,0.258,0.344,0.082
1984,1984-05-15,1984-05-17,Conference Board of Dataland,Metaflux Realm,Live caller,3000,LV,None,0.342,0.233,0.354,0,0.07
1984,1984-05-15,1984-05-17,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.163,0.187,0.247,0.31,0.092
1984,1984-05-17,1984-05-18,Metaflux University,Binaryshire,IVR,1500,RV,None,0.743,0.019,0.127,0,0.112
1984,1984-05-17,1984-05-18,Metaflux University,Byteforge Domain,IVR,1500,RV,None,0.372,0.072,0.47,0,0.086
1984,1984-05-16,1984-05-18,Progressive Polling,Cerebrica,Live caller,1000,Adults,None,0.226,0.292,0.325,0.072,0.085
1984,1984-05-16,1984-05-18,Dataland Register-Gazette,Cortexia,Live caller,1500,RV,None,0.14,0.147,0.251,0.349,0.112
1984,1984-05-16,1984-05-18,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.374,0.264,0.268,0,0.094
1984,1984-05-16,1984-05-18,Dataland Daily,National,Online,200,Adults,None,0.15,0.31,0.32,0.075,0.145
1984,1984-05-18,1984-05-19,Metaflux University,Byteforge Domain,IVR,1500,RV,None,0.403,0.073,0.415,0,0.109
1984,1984-05-17,1984-05-19,Dataland Daily,National,Online,200,Adults,None,0.185,0.305,0.305,0.07,0.135
1984,1984-05-18,1984-05-19,Dataland Daily,National,Online,200,Adults,None,0.195,0.275,0.295,0.075,0.16
1984,1984-05-19,1984-05-20,Electropolis Elects,Electropolis,Live caller,1000,LV,None,0.214,0.356,0.372,0,0.058
1984,1984-05-18,1984-05-20,Big Dataland Surveys,National,Online,10000,RV,None,0.183,0.291,0.344,0.076,0.106
1984,1984-05-19,1984-05-20,Big Dataland Surveys,Synapse Territories,Online,10000,RV,None,0.152,0.194,0.231,0.299,0.123
1984,1984-05-20,1984-05-21,Metaflux University,Metaflux Realm,IVR,1500,RV,None,0.361,0.223,0.339,0,0.077
1984,1984-05-19,1984-05-21,Dataland Daily,National,Online,200,Adults,None,0.185,0.245,0.375,0.055,0.14
1984,1984-05-20,1984-05-21,Dataland Daily,National,Online,200,Adults,None,0.22,0.25,0.285,0.085,0.16
1984,1984-05-20,1984-05-22,No Province Left Behind,Binaryshire,IVR,500,LV,None,0.748,0.018,0.14,0,0.094
1984,1984-05-20,1984-05-22,Proudly Paid For Polling,Circuit Confederation,Online,1000,LV,DGM,0.12,0.413,0.411,0,0.056
1984,1984-05-20,1984-05-22,Big Dataland Surveys,National,Online,10000,RV,None,0.153,0.31,0.366,0.056,0.114
1984,1984-05-21,1984-05-22,Dataland Daily,National,Online,200,Adults,None,0.18,0.28,0.285,0.11,0.145
1984,1984-05-21,1984-05-22,Proudly Paid For Polling,Voltagea,Online,1000,LV,PDAL,0.081,0.323,0.514,0,0.082
1984,1984-05-22,1984-05-23,Proudly Paid For Polling,Electropolis,Online,1000,LV,PDAL,0.169,0.378,0.379,0,0.074
1984,1984-05-22,1984-05-23,Dataland Daily,National,Online,200,Adults,None,0.105,0.3,0.395,0.075,0.125
1984,1984-05-21,1984-05-23,No Province Left Behind,Quantumridge,IVR,500,LV,None,0.174,0.3,0.47,0,0.056
1984,1984-05-22,1984-05-23,Big Dataland Surveys,Synapse Territories,Online,10000,RV,None,0.18,0.186,0.232,0.286,0.117
1984,1984-05-22,1984-05-24,No Province Left Behind,Binaryshire,IVR,500,LV,None,0.802,0.02,0.116,0,0.062
1984,1984-05-23,1984-05-24,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,LV,None,0.125,0.319,0.477,0,0.079
1984,1984-05-23,1984-05-24,Synapse Strategies,Cortexia,Online,1000,LV,None,0.134,0.185,0.241,0.375,0.065
1984,1984-05-23,1984-05-24,Proudly Paid For Polling,Electropolis,Online,1000,LV,CC,0.245,0.355,0.33,0,0.07
1984,1984-05-23,1984-05-24,Dataland Daily,National,Online,200,Adults,None,0.165,0.355,0.32,0.035,0.125
1984,1984-05-23,1984-05-24,Cobolite Coalition Calling,National,IVR,2000,RV,None,0.17,0.254,0.396,0.08,0.1
1984,1984-05-23,1984-05-25,Proudly Paid For Polling,Amperville,Online,1000,LV,PDAL,0.029,0.147,0.748,0,0.076
1984,1984-05-24,1984-05-25,Proudly Paid For Polling,Byteforge Domain,Online,1000,LV,DGM,0.342,0.122,0.449,0,0.087
1984,1984-05-23,1984-05-25,Proudly Paid For Polling,Synapse Territories,Online,1000,LV,DGM,0.189,0.198,0.24,0.308,0.065
1984,1984-05-25,1984-05-26,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,LV,None,0.141,0.321,0.463,0,0.075
1984,1984-05-25,1984-05-26,Proudly Paid For Polling,Metaflux Realm,Online,1000,LV,CC,0.353,0.259,0.299,0,0.089
1984,1984-05-24,1984-05-26,Dataland Daily,National,Online,200,Adults,None,0.195,0.21,0.355,0.1,0.14
1984,1984-05-25,1984-05-27,Dataland Register-Gazette,Cerebrica,Live caller,1500,LV,None,0.297,0.259,0.293,0.084,0.067
1984,1984-05-26,1984-05-27,Progressive Polling,Circuiton,Live caller,1000,LV,PDAL,0.048,0.392,0.492,0,0.068
1984,1984-05-25,1984-05-27,Dataland Daily,National,Online,200,Adults,None,0.15,0.245,0.36,0.12,0.125
1984,1984-05-26,1984-05-27,Proudly Paid For Polling,Neuronia,Online,1000,LV,DGM,0.028,0.128,0.061,0.733,0.05
1984,1984-05-27,1984-05-28,Metaflux University,Binaryshire,IVR,1500,RV,None,0.744,0.02,0.133,0,0.103
1984,1984-05-27,1984-05-28,Dataland Register-Gazette,Infoglen,Live caller,1500,LV,None,0.301,0.315,0.313,0,0.071
1984,1984-05-26,1984-05-28,Dataland Daily,National,Online,200,Adults,None,0.16,0.255,0.37,0.065,0.15
1984,1984-05-27,1984-05-28,Dataland Daily,National,Online,200,Adults,None,0.19,0.285,0.25,0.06,0.215
1984,1984-05-27,1984-05-28,No Province Left Behind,Neuronia,IVR,500,LV,None,0.026,0.114,0.074,0.732,0.054
1984,1984-05-27,1984-05-29,Proudly Paid For Polling,Byteforge Domain,Online,1000,LV,PDAL,0.405,0.093,0.446,0,0.056
1984,1984-05-28,1984-05-29,Progressive Polling,Cortexia,Live caller,1000,LV,PDAL,0.105,0.153,0.285,0.39,0.067
1984,1984-05-28,1984-05-29,Dataland Register-Gazette,National,Live caller,1500,LV,None,0.183,0.261,0.398,0.09,0.068
1984,1984-05-29,1984-05-30,Proudly Paid For Polling,Circuit Confederation,Online,1000,LV,CC,0.167,0.288,0.454,0,0.091
1984,1984-05-29,1984-05-30,Electropolis Elects,Electropolis,Live caller,1000,LV,None,0.247,0.364,0.346,0,0.043
1984,1984-05-28,1984-05-30,Dataland Daily,National,Online,200,Adults,None,0.15,0.27,0.375,0.08,0.125
1984,1984-05-30,1984-05-31,Cobolite Coalition Calling,Byteforge Domain,IVR,2000,RV,None,0.457,0.069,0.374,0,0.1
1984,1984-05-29,1984-05-31,Dataland Daily,National,Online,200,Adults,None,0.24,0.21,0.375,0.06,0.115
1984,1984-05-30,1984-05-31,Dataland Daily,National,Online,200,Adults,None,0.15,0.335,0.285,0.07,0.16
1984,1984-05-31,1984-06-01,No Province Left Behind,Binaryshire,IVR,500,LV,None,0.812,0.026,0.104,0,0.058
1984,1984-05-30,1984-06-01,Proudly Paid For Polling,Voltagea,Online,1000,LV,DGM,0.082,0.417,0.438,0,0.063
1984,1984-06-01,1984-06-02,Dataland Register-Gazette,Metaflux Realm,Live caller,1500,LV,None,0.367,0.225,0.356,0,0.053
1984,1984-05-31,1984-06-02,Dataland Daily,National,Online,200,Adults,None,0.215,0.235,0.325,0.085,0.14
1984,1984-06-01,1984-06-02,Dataland Daily,National,Online,200,Adults,None,0.155,0.24,0.43,0.075,0.1
1984,1984-06-02,1984-06-03,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,LV,None,0.152,0.327,0.475,0,0.046
1984,1984-06-02,1984-06-03,Big Dataland Surveys,Circuit Confederation,Online,10000,RV,None,0.133,0.39,0.401,0,0.076
1984,1984-06-02,1984-06-03,Dataland Daily,National,Online,200,Adults,None,0.215,0.26,0.3,0.095,0.13
1984,1984-06-01,1984-06-03,Proudly Paid For Polling,Synapse Territories,Online,1000,LV,CC,0.201,0.196,0.25,0.292,0.061
1984,1984-06-02,1984-06-04,Proudly Paid For Polling,Binaryshire,Online,1000,LV,PDAL,0.74,0.03,0.164,0,0.066
1984,1984-06-02,1984-06-04,Progressive Polling,Electropolis,Live caller,1000,LV,None,0.195,0.369,0.404,0,0.032
1984,1984-06-04,1984-06-05,Dataland Register-Gazette,Metaflux Realm,Live caller,1500,LV,None,0.383,0.244,0.329,0,0.044
1984,1984-06-03,1984-06-05,Dataland Daily,National,Online,200,Adults,None,0.165,0.26,0.36,0.08,0.135
1984,1984-06-04,1984-06-05,Dataland Daily,National,Online,200,Adults,None,0.16,0.365,0.275,0.075,0.125
1984,1984-06-04,1984-06-06,Dataland Register-Gazette,Cortexia,Live caller,1500,LV,None,0.141,0.159,0.25,0.401,0.049
1984,1984-06-05,1984-06-06,Dataland Daily,National,Online,200,Adults,None,0.31,0.295,0.19,0.065,0.14
1984,1984-06-06,1984-06-07,Proudly Paid For Polling,Cerebrica,Online,1000,LV,PDAL,0.256,0.265,0.335,0.077,0.067
1984,1984-06-05,1984-06-07,Progressive Polling,Electropolis,Live caller,1000,LV,None,0.206,0.334,0.398,0,0.062
1984,1984-06-05,1984-06-07,Proudly Paid For Polling,Electropolis,Online,1000,LV,CC,0.243,0.331,0.352,0,0.074
1984,1984-06-05,1984-06-07,Dataland Register-Gazette,National,Live caller,1500,LV,None,0.221,0.268,0.361,0.107,0.043
1984,1984-06-06,1984-06-08,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,LV,None,0.133,0.319,0.504,0,0.044
1984,1984-06-06,1984-06-08,Proudly Paid For Polling,Circuit Confederation,Online,1000,LV,DGM,0.131,0.355,0.454,0,0.06
1984,1984-06-06,1984-06-08,Dataland Daily,National,Online,200,Adults,None,0.235,0.315,0.28,0.065,0.105
1984,1984-06-08,1984-06-09,Electropolis Elects,Electropolis,Live caller,1000,LV,None,0.218,0.38,0.36,0,0.042
1984,1984-06-07,1984-06-09,Dataland Daily,National,Online,200,Adults,None,0.145,0.295,0.34,0.13,0.09
1984,1984-06-07,1984-06-09,Metaflux University,Quantumridge,IVR,1500,RV,None,0.197,0.299,0.429,0,0.076
1984,1984-06-08,1984-06-10,Dataland Daily,National,Online,200,Adults,None,0.17,0.245,0.375,0.06,0.15
1984,1984-06-08,1984-06-10,Synapse Strategies,Synapse Territories,Online,1000,LV,SSP,0.189,0.194,0.211,0.354,0.052
1984,1984-06-09,1984-06-11,Dataland Register-Gazette,Electropolis,Live caller,1500,LV,None,0.213,0.377,0.38,0,0.03
1984,1984-06-10,1984-06-11,Dataland Register-Gazette,Electropolis,Live caller,1500,LV,None,0.213,0.363,0.382,0,0.042
1984,1984-06-09,1984-06-11,Proudly Paid For Polling,Infoglen,Online,1000,LV,DGM,0.3,0.369,0.277,0,0.054
1984,1984-06-10,1984-06-11,Progressive Polling,Infoglen,Live caller,1000,LV,None,0.277,0.292,0.383,0,0.048
1984,1984-06-09,1984-06-11,Dataland Daily,National,Online,200,Adults,None,0.15,0.29,0.37,0.085,0.105
