"scenario","type_of_poll","date","pollster","geography","sample_size","party","value"
"B","national",2024-04-15,"Dataland Daily","National",200,"SSP",13
"B","national",2024-04-15,"Dataland Daily","National",200,"CC",60
"B","national",2024-04-15,"Dataland Daily","National",200,"DGM",52
"B","national",2024-04-15,"Dataland Daily","National",200,"PDAL",69
"B","national",2024-04-15,"Dataland Daily","National",200,"SSP",19
"B","national",2024-04-17,"Dataland Daily","National",200,"CC",64
"B","national",2024-04-17,"Dataland Daily","National",200,"DGM",40
"B","national",2024-04-17,"Dataland Daily","National",200,"PDAL",80
"B","national",2024-04-17,"Dataland Daily","National",200,"SSP",16
"B","national",2024-04-17,"Dataland Daily","National",200,"CC",72
"B","national",2024-04-17,"Dataland Daily","National",200,"DGM",47
"B","national",2024-04-17,"Dataland Daily","National",200,"PDAL",67
"B","national",2024-04-17,"Dataland Daily","National",200,"SSP",13
"B","national",2024-04-18,"Dataland Daily","National",200,"CC",53
"B","national",2024-04-18,"Dataland Daily","National",200,"DGM",42
"B","national",2024-04-18,"Dataland Daily","National",200,"PDAL",87
"B","national",2024-04-18,"Dataland Daily","National",200,"SSP",17
"B","national",2024-04-18,"Big Dataland Surveys","National",10000,"CC",3369
"B","national",2024-04-18,"Big Dataland Surveys","National",10000,"DGM",2574
"B","national",2024-04-18,"Big Dataland Surveys","National",10000,"PDAL",3274
"B","national",2024-04-18,"Big Dataland Surveys","National",10000,"SSP",783
