"date","cc_mean_vote_share","dgm_mean_vote_share","pdal_mean_vote_share","ssp_mean_vote_share","cc_prob_win","dgm_prob_win","pdal_prob_win","ssp_prob_win"
2024-05-07,0.234602625,0.317975818,0.385894764,0.0615267826,0.017,0.243,0.74,0
2024-05-08,0.22881513,0.325616798,0.386028514,0.0595395788,0.009,0.367,0.624,0
2024-05-09,0.221994308,0.321989061,0.396832148,0.05918447,0.001,0.177,0.822,0
2024-05-10,0.214098963,0.313868217,0.41393112,0.0581016977,0,0.017,0.983,0
2024-05-11,0.227247339,0.320412375,0.392492819,0.0598474896,0,0.243,0.757,0
2024-05-12,0.224980644,0.332108732,0.382191228,0.0607193894,0.002,0.618,0.38,0
2024-05-13,0.236141473,0.310013009,0.391575382,0.0622701334,0.019,0.162,0.819,0
2024-05-14,0.22812243,0.313265719,0.395715929,0.0628959248,0.005,0.225,0.77,0
2024-05-15,0.215126616,0.350206291,0.374730705,0.059936426,0,0.99,0.01,0
2024-05-16,0.209036033,0.37057206,0.361402416,0.0589894971,0,0.997,0.003,0
2024-05-17,0.200185417,0.395402612,0.345533338,0.0588786094,0,1,0,0
2024-05-18,0.221854334,0.343680411,0.371552659,0.0629126134,0,0.976,0.024,0
2024-05-19,0.235744545,0.32290137,0.377603121,0.0637509661,0.003,0.774,0.223,0
2024-05-20,0.235624432,0.327708537,0.376831267,0.0598357638,0.001,0.611,0.388,0
2024-05-21,0.245985709,0.320648593,0.375452638,0.0579130529,0.014,0.275,0.711,0
2024-05-22,0.270283289,0.296058355,0.369899536,0.0637588274,0.627,0.12,0.253,0
2024-05-23,0.266017177,0.30304078,0.36535197,0.0655900724,0.361,0.443,0.196,0
2024-05-24,0.249316652,0.311858341,0.373998463,0.0648265261,0.124,0.539,0.337,0
2024-05-25,0.257849245,0.298612621,0.379063422,0.0644747009,0.254,0.189,0.557,0
2024-05-26,0.251629738,0.302918925,0.382483765,0.0629675639,0.146,0.159,0.695,0
2024-05-27,0.235328317,0.313571853,0.390946505,0.0601533449,0.015,0.166,0.819,0
2024-05-28,0.246293754,0.310817143,0.384120432,0.0587686722,0.029,0.207,0.764,0
2024-05-29,0.226446997,0.333343,0.381330143,0.0588798426,0,0.731,0.269,0
2024-05-30,0.223304465,0.321689461,0.393412678,0.0615933734,0,0.679,0.321,0
2024-05-31,0.240047984,0.305044515,0.392566973,0.062340546,0.01,0.263,0.727,0
2024-06-01,0.237476547,0.301839095,0.399620719,0.0610636382,0.006,0.099,0.895,0
2024-06-02,0.245272794,0.293723771,0.400693955,0.0603094898,0.016,0.066,0.918,0
2024-06-03,0.261148832,0.275984829,0.403527447,0.0593388891,0.01,0.005,0.985,0
2024-06-04,0.242956433,0.301239028,0.399665639,0.056138876,0.019,0.301,0.68,0
2024-06-05,0.248427203,0.315233617,0.380592265,0.0557469459,0.071,0.792,0.137,0
2024-06-06,0.259890035,0.302171176,0.381815986,0.0561228151,0.256,0.401,0.343,0
2024-06-07,0.255057523,0.306256172,0.382690551,0.0559957436,0.064,0.539,0.397,0
