"date","cc_mean_vote_share","dgm_mean_vote_share","pdal_mean_vote_share","ssp_mean_vote_share","cc_prob_win","dgm_prob_win","pdal_prob_win","ssp_prob_win"
2024-05-13,0.311298805,0.232736833,0.388162098,0.0678022706,0.666,0,0.334,0
2024-05-14,0.289445129,0.251978933,0.39133454,0.0672414003,0.291,0,0.709,0
2024-05-15,0.284196799,0.263018326,0.38458697,0.0681979039,0.272,0,0.728,0
2024-05-16,0.280078234,0.27214732,0.377415331,0.0703591166,0.478,0.043,0.479,0
2024-05-17,0.283575566,0.277450721,0.37018332,0.0687903901,0.668,0.053,0.279,0
2024-05-18,0.290345443,0.288768757,0.354125601,0.0667602084,0.889,0.059,0.052,0
2024-05-19,0.310609954,0.267970661,0.352096755,0.0693226345,0.998,0.001,0.001,0
2024-05-20,0.336531731,0.235730924,0.356975061,0.0707622774,1,0,0,0
2024-05-21,0.325059939,0.235040907,0.369598653,0.0703005302,1,0,0,0
2024-05-22,0.328100413,0.233577209,0.369200058,0.0691223351,0.996,0,0.004,0
2024-05-23,0.325287754,0.240090981,0.366621247,0.0680000158,0.993,0,0.007,0
2024-05-24,0.32717349,0.241012861,0.36434311,0.0674705193,1,0,0,0
2024-05-25,0.334852847,0.243415812,0.355544255,0.0661870732,0.999,0,0.001,0
2024-05-26,0.340719296,0.233850603,0.358398887,0.067031232,1,0,0,0
2024-05-27,0.341736542,0.230524726,0.358971555,0.0687671712,1,0,0,0
2024-05-28,0.316501785,0.242166698,0.372437285,0.0688942321,0.998,0,0.002,0
2024-05-29,0.322604478,0.237641841,0.369577682,0.0701760033,0.991,0,0.009,0
2024-05-30,0.313958171,0.243845253,0.370991604,0.0712049726,1,0,0,0
2024-05-31,0.305873324,0.250380368,0.368890137,0.0748561437,0.903,0.005,0.092,0
2024-06-01,0.303462952,0.252476092,0.367108712,0.0769522458,0.824,0.002,0.174,0
2024-06-02,0.301328754,0.252974389,0.367792383,0.0779044625,0.793,0.005,0.202,0
2024-06-03,0.294800031,0.257183126,0.369528115,0.0784887335,0.625,0,0.375,0
2024-06-04,0.3055998,0.251089479,0.36481686,0.0784938482,0.944,0,0.056,0
2024-06-05,0.297221414,0.268484933,0.358912903,0.0753807484,0.924,0.016,0.06,0
2024-06-06,0.310503069,0.246263132,0.36762033,0.0756134578,0.98,0,0.02,0
2024-06-07,0.282718516,0.256664057,0.384979504,0.0756379022,0.718,0,0.282,0
2024-06-08,0.302758195,0.242681417,0.37587651,0.0786838872,0.977,0,0.023,0
2024-06-09,0.306097829,0.248732354,0.367243453,0.0779263505,0.999,0,0.001,0
2024-06-10,0.296022235,0.25978707,0.36901094,0.0751797882,0.938,0,0.062,0
2024-06-11,0.308150535,0.272695975,0.347802001,0.0713514753,1,0,0,0
2024-06-12,0.301921026,0.272034477,0.358026687,0.0680178241,0.992,0.001,0.007,0
2024-06-13,0.295701765,0.274889227,0.359827958,0.0695810615,0.988,0,0.012,0
2024-06-14,0.297676364,0.275501771,0.353718302,0.073103584,0.995,0,0.005,0
2024-06-15,0.272205094,0.264130891,0.389814925,0.0738490804,0.056,0,0.944,0
2024-06-16,0.276005318,0.273246779,0.377361306,0.0733865942,0.216,0.001,0.783,0
