"type_of_poll","date","pollster","geography","sample_size","party","value"
"state",2023-04-27,"Metaflux University","Infinitron Peninsula",1500,"CC",644
"state",2023-04-27,"Metaflux University","Infinitron Peninsula",1500,"DGM",516
"state",2023-04-27,"Metaflux University","Infinitron Peninsula",1500,"PDAL",340
"state",2023-04-27,"Metaflux University","Infinitron Peninsula",1500,"SSP",0
"state",2023-04-27,"No Province Left Behind","Quantumridge",500,"CC",106
"state",2023-04-27,"No Province Left Behind","Quantumridge",500,"DGM",167
"state",2023-04-27,"No Province Left Behind","Quantumridge",500,"PDAL",227
"state",2023-04-27,"No Province Left Behind","Quantumridge",500,"SSP",0
"state",2023-04-28,"Metaflux University","Infoglen",1500,"CC",581
"state",2023-04-28,"Metaflux University","Infoglen",1500,"DGM",512
"state",2023-04-28,"Metaflux University","Infoglen",1500,"PDAL",408
"state",2023-04-28,"Metaflux University","Infoglen",1500,"SSP",0
"state",2023-04-29,"Dataland Register-Gazette","Infoglen",1500,"CC",550
"state",2023-04-29,"Dataland Register-Gazette","Infoglen",1500,"DGM",455
"state",2023-04-29,"Dataland Register-Gazette","Infoglen",1500,"PDAL",495
"state",2023-04-29,"Dataland Register-Gazette","Infoglen",1500,"SSP",0
"state",2023-04-30,"Metaflux University","Binaryshire",1500,"CC",1282
"state",2023-04-30,"Metaflux University","Binaryshire",1500,"DGM",25
"state",2023-04-30,"Metaflux University","Binaryshire",1500,"PDAL",193
"state",2023-04-30,"Metaflux University","Binaryshire",1500,"SSP",0
"state",2023-04-30,"Proudly Paid For Polling","Neuronia",1000,"CC",39
"state",2023-04-30,"Proudly Paid For Polling","Neuronia",1000,"DGM",189
"state",2023-04-30,"Proudly Paid For Polling","Neuronia",1000,"PDAL",112
"state",2023-04-30,"Proudly Paid For Polling","Neuronia",1000,"SSP",661
"state",2023-04-30,"No Province Left Behind","Amperville",500,"CC",31
"state",2023-04-30,"No Province Left Behind","Amperville",500,"DGM",123
"state",2023-04-30,"No Province Left Behind","Amperville",500,"PDAL",346
"state",2023-04-30,"No Province Left Behind","Amperville",500,"SSP",0
"state",2023-04-30,"Dataland Register-Gazette","Infoglen",1500,"CC",553
"state",2023-04-30,"Dataland Register-Gazette","Infoglen",1500,"DGM",503
"state",2023-04-30,"Dataland Register-Gazette","Infoglen",1500,"PDAL",444
"state",2023-04-30,"Dataland Register-Gazette","Infoglen",1500,"SSP",0
"regional",2023-04-10,"Big Dataland Surveys","Metaflux Realm",10000,"CC",3442
"regional",2023-04-10,"Big Dataland Surveys","Metaflux Realm",10000,"DGM",3454
"regional",2023-04-10,"Big Dataland Surveys","Metaflux Realm",10000,"PDAL",3104
"regional",2023-04-10,"Big Dataland Surveys","Metaflux Realm",10000,"SSP",0
"regional",2023-04-11,"Cobolite Coalition Calling","Circuit Confederation",2000,"CC",307
"regional",2023-04-11,"Cobolite Coalition Calling","Circuit Confederation",2000,"DGM",592
"regional",2023-04-11,"Cobolite Coalition Calling","Circuit Confederation",2000,"PDAL",1101
"regional",2023-04-11,"Cobolite Coalition Calling","Circuit Confederation",2000,"SSP",0
"regional",2023-04-13,"Big Dataland Surveys","Circuit Confederation",10000,"CC",1463
"regional",2023-04-13,"Big Dataland Surveys","Circuit Confederation",10000,"DGM",3096
"regional",2023-04-13,"Big Dataland Surveys","Circuit Confederation",10000,"PDAL",5441
"regional",2023-04-13,"Big Dataland Surveys","Circuit Confederation",10000,"SSP",0
"regional",2023-04-13,"Big Dataland Surveys","Metaflux Realm",10000,"CC",4030
"regional",2023-04-13,"Big Dataland Surveys","Metaflux Realm",10000,"DGM",2596
"regional",2023-04-13,"Big Dataland Surveys","Metaflux Realm",10000,"PDAL",3375
"regional",2023-04-13,"Big Dataland Surveys","Metaflux Realm",10000,"SSP",0
"regional",2023-04-15,"Big Dataland Surveys","Metaflux Realm",10000,"CC",4146
"regional",2023-04-15,"Big Dataland Surveys","Metaflux Realm",10000,"DGM",2792
"regional",2023-04-15,"Big Dataland Surveys","Metaflux Realm",10000,"PDAL",3062
"regional",2023-04-15,"Big Dataland Surveys","Metaflux Realm",10000,"SSP",0
"regional",2023-04-18,"Synapse Strategies","Synapse Territories",1000,"CC",176
"regional",2023-04-18,"Synapse Strategies","Synapse Territories",1000,"DGM",302
"regional",2023-04-18,"Synapse Strategies","Synapse Territories",1000,"PDAL",294
"regional",2023-04-18,"Synapse Strategies","Synapse Territories",1000,"SSP",228
"regional",2023-04-25,"Synapse Strategies","Synapse Territories",1000,"CC",135
"regional",2023-04-25,"Synapse Strategies","Synapse Territories",1000,"DGM",254
"regional",2023-04-25,"Synapse Strategies","Synapse Territories",1000,"PDAL",296
"regional",2023-04-25,"Synapse Strategies","Synapse Territories",1000,"SSP",315
"regional",2023-04-25,"Conference Board of Dataland","Synapse Territories",3000,"CC",538
"regional",2023-04-25,"Conference Board of Dataland","Synapse Territories",3000,"DGM",727
"regional",2023-04-25,"Conference Board of Dataland","Synapse Territories",3000,"PDAL",960
"regional",2023-04-25,"Conference Board of Dataland","Synapse Territories",3000,"SSP",775
"regional",2023-04-27,"Metaflux University","Metaflux Realm",1500,"CC",622
"regional",2023-04-27,"Metaflux University","Metaflux Realm",1500,"DGM",380
"regional",2023-04-27,"Metaflux University","Metaflux Realm",1500,"PDAL",498
"regional",2023-04-27,"Metaflux University","Metaflux Realm",1500,"SSP",0
"national",2023-04-04,"Dataland Daily","National",200,"CC",45
"national",2023-04-04,"Dataland Daily","National",200,"DGM",70
"national",2023-04-04,"Dataland Daily","National",200,"PDAL",75
"national",2023-04-04,"Dataland Daily","National",200,"SSP",10
"national",2023-04-05,"Dataland Daily","National",200,"CC",41
"national",2023-04-05,"Dataland Daily","National",200,"DGM",73
"national",2023-04-05,"Dataland Daily","National",200,"PDAL",68
"national",2023-04-05,"Dataland Daily","National",200,"SSP",17
"national",2023-04-06,"Dataland Daily","National",200,"CC",31
"national",2023-04-06,"Dataland Daily","National",200,"DGM",64
"national",2023-04-06,"Dataland Daily","National",200,"PDAL",93
"national",2023-04-06,"Dataland Daily","National",200,"SSP",12
"national",2023-04-07,"Dataland Daily","National",200,"CC",41
"national",2023-04-07,"Dataland Daily","National",200,"DGM",64
"national",2023-04-07,"Dataland Daily","National",200,"PDAL",77
"national",2023-04-07,"Dataland Daily","National",200,"SSP",18
"national",2023-04-08,"Dataland Daily","National",200,"CC",35
"national",2023-04-08,"Dataland Daily","National",200,"DGM",84
"national",2023-04-08,"Dataland Daily","National",200,"PDAL",63
"national",2023-04-08,"Dataland Daily","National",200,"SSP",18
"national",2023-04-09,"Dataland Daily","National",200,"CC",39
"national",2023-04-09,"Dataland Daily","National",200,"DGM",65
"national",2023-04-09,"Dataland Daily","National",200,"PDAL",84
"national",2023-04-09,"Dataland Daily","National",200,"SSP",12
"national",2023-04-10,"Dataland Daily","National",200,"CC",43
"national",2023-04-10,"Dataland Daily","National",200,"DGM",75
"national",2023-04-10,"Dataland Daily","National",200,"PDAL",67
"national",2023-04-10,"Dataland Daily","National",200,"SSP",14
"national",2023-04-11,"Dataland Daily","National",200,"CC",58
"national",2023-04-11,"Dataland Daily","National",200,"DGM",76
"national",2023-04-11,"Dataland Daily","National",200,"PDAL",54
"national",2023-04-11,"Dataland Daily","National",200,"SSP",12
"national",2023-04-12,"Dataland Daily","National",200,"CC",42
"national",2023-04-12,"Dataland Daily","National",200,"DGM",64
"national",2023-04-12,"Dataland Daily","National",200,"PDAL",80
"national",2023-04-12,"Dataland Daily","National",200,"SSP",14
"national",2023-04-13,"Dataland Daily","National",200,"CC",52
"national",2023-04-13,"Dataland Daily","National",200,"DGM",66
"national",2023-04-13,"Dataland Daily","National",200,"PDAL",69
"national",2023-04-13,"Dataland Daily","National",200,"SSP",13
"national",2023-04-14,"Dataland Daily","National",200,"CC",51
"national",2023-04-14,"Dataland Daily","National",200,"DGM",63
"national",2023-04-14,"Dataland Daily","National",200,"PDAL",78
"national",2023-04-14,"Dataland Daily","National",200,"SSP",8
"national",2023-04-15,"Dataland Daily","National",200,"CC",34
"national",2023-04-15,"Dataland Daily","National",200,"DGM",73
"national",2023-04-15,"Dataland Daily","National",200,"PDAL",81
"national",2023-04-15,"Dataland Daily","National",200,"SSP",13
"national",2023-04-16,"Dataland Daily","National",200,"CC",50
"national",2023-04-16,"Dataland Daily","National",200,"DGM",59
"national",2023-04-16,"Dataland Daily","National",200,"PDAL",77
"national",2023-04-16,"Dataland Daily","National",200,"SSP",14
"national",2023-04-16,"Big Dataland Surveys","National",10000,"CC",2351
"national",2023-04-16,"Big Dataland Surveys","National",10000,"DGM",3091
"national",2023-04-16,"Big Dataland Surveys","National",10000,"PDAL",3866
"national",2023-04-16,"Big Dataland Surveys","National",10000,"SSP",692
"national",2023-04-17,"Dataland Daily","National",200,"CC",36
"national",2023-04-17,"Dataland Daily","National",200,"DGM",66
"national",2023-04-17,"Dataland Daily","National",200,"PDAL",84
"national",2023-04-17,"Dataland Daily","National",200,"SSP",13
"national",2023-04-18,"Dataland Daily","National",200,"CC",43
"national",2023-04-18,"Dataland Daily","National",200,"DGM",50
"national",2023-04-18,"Dataland Daily","National",200,"PDAL",90
"national",2023-04-18,"Dataland Daily","National",200,"SSP",16
"national",2023-04-19,"Dataland Daily","National",200,"CC",29
"national",2023-04-19,"Dataland Daily","National",200,"DGM",60
"national",2023-04-19,"Dataland Daily","National",200,"PDAL",95
"national",2023-04-19,"Dataland Daily","National",200,"SSP",16
"national",2023-04-20,"Dataland Daily","National",200,"CC",38
"national",2023-04-20,"Dataland Daily","National",200,"DGM",55
"national",2023-04-20,"Dataland Daily","National",200,"PDAL",93
"national",2023-04-20,"Dataland Daily","National",200,"SSP",15
"national",2023-04-21,"Dataland Daily","National",200,"CC",36
"national",2023-04-21,"Dataland Daily","National",200,"DGM",65
"national",2023-04-21,"Dataland Daily","National",200,"PDAL",89
"national",2023-04-21,"Dataland Daily","National",200,"SSP",10
"national",2023-04-22,"Dataland Daily","National",200,"CC",36
"national",2023-04-22,"Dataland Daily","National",200,"DGM",62
"national",2023-04-22,"Dataland Daily","National",200,"PDAL",90
"national",2023-04-22,"Dataland Daily","National",200,"SSP",11
"national",2023-04-23,"Dataland Daily","National",200,"CC",22
"national",2023-04-23,"Dataland Daily","National",200,"DGM",65
"national",2023-04-23,"Dataland Daily","National",200,"PDAL",101
"national",2023-04-23,"Dataland Daily","National",200,"SSP",13
"national",2023-04-24,"Dataland Daily","National",200,"CC",41
"national",2023-04-24,"Dataland Daily","National",200,"DGM",64
"national",2023-04-24,"Dataland Daily","National",200,"PDAL",80
"national",2023-04-24,"Dataland Daily","National",200,"SSP",15
"national",2023-04-25,"Dataland Daily","National",200,"CC",45
"national",2023-04-25,"Dataland Daily","National",200,"DGM",46
"national",2023-04-25,"Dataland Daily","National",200,"PDAL",95
"national",2023-04-25,"Dataland Daily","National",200,"SSP",14
"national",2023-04-26,"Dataland Daily","National",200,"CC",40
"national",2023-04-26,"Dataland Daily","National",200,"DGM",55
"national",2023-04-26,"Dataland Daily","National",200,"PDAL",92
"national",2023-04-26,"Dataland Daily","National",200,"SSP",14
"national",2023-04-27,"Dataland Daily","National",200,"CC",37
"national",2023-04-27,"Dataland Daily","National",200,"DGM",58
"national",2023-04-27,"Dataland Daily","National",200,"PDAL",91
"national",2023-04-27,"Dataland Daily","National",200,"SSP",14
"national",2023-04-28,"Dataland Daily","National",200,"CC",44
"national",2023-04-28,"Dataland Daily","National",200,"DGM",76
"national",2023-04-28,"Dataland Daily","National",200,"PDAL",64
"national",2023-04-28,"Dataland Daily","National",200,"SSP",16
"national",2023-04-29,"Dataland Daily","National",200,"CC",45
"national",2023-04-29,"Dataland Daily","National",200,"DGM",62
"national",2023-04-29,"Dataland Daily","National",200,"PDAL",85
"national",2023-04-29,"Dataland Daily","National",200,"SSP",8
"national",2023-04-30,"Dataland Daily","National",200,"CC",43
"national",2023-04-30,"Dataland Daily","National",200,"DGM",74
"national",2023-04-30,"Dataland Daily","National",200,"PDAL",69
"national",2023-04-30,"Dataland Daily","National",200,"SSP",14
